scaling_factor,ppl
-1.0,48.517086029052734
-0.9,42.5743408203125
-0.8,38.018096923828125
-0.7000000000000001,34.56571960449219
-0.6000000000000001,31.963096618652344
-0.5000000000000001,29.982402801513672
-0.40000000000000013,28.443893432617188
-0.30000000000000016,27.235294342041016
-0.20000000000000018,26.301706314086914
-0.1000000000000002,25.61675262451172
-2.220446049250313e-16,25.170398712158203
0.09999999999999964,24.97051429748535
0.19999999999999973,25.019535064697266
0.2999999999999998,25.3021240234375
0.3999999999999997,25.805076599121094
0.49999999999999956,26.528818130493164
0.5999999999999996,27.492206573486328
0.6999999999999997,28.74665641784668
0.7999999999999996,30.419313430786133
0.8999999999999995,32.708335876464844
0.9999999999999996,35.90602111816406
