pretrained,finetuned
0.028118495,0.34736288
0.0021141225,0.0006859687
0.0023465804,0.39095894
0.6007413,0.97759205
0.0037255436,0.79717404
0.15886436,0.95826274
0.48500198,0.9415593
0.075274274,0.22011793
0.81580114,0.83692163
0.0006944775,0.06773416
0.00251243,0.00080894533
0.014494497,0.002630224
0.30042255,0.048536032
0.007662832,0.997163
0.9629667,0.92592525
0.0012903479,0.9631962
0.6427849,0.0881369
0.030663675,0.14374982
0.00080221816,0.8603008
0.0896136,0.99740714
0.07662269,0.9744115
0.00264818,0.37842995
0.000808044,0.09833048
0.013263861,0.05313792
0.2793842,0.47861716
0.029835546,0.0022751668
0.99441695,0.9447808
0.0016131243,0.08615818
0.030879134,0.0038520265
0.0016901247,0.032773104
0.001470894,0.8472194
0.054424588,0.9985384
0.0017461436,0.99813074
0.0166559,0.7124506
0.02498931,0.014344896
0.023408845,0.019725585
0.093465194,0.8309263
0.033360425,0.1376412
0.0005713505,0.000533526
0.0023940485,0.9971047
0.11375867,0.13184986
0.00072576886,0.991836
0.001414401,0.9634527
0.0009091482,0.005664002
0.00080822536,0.19974895
0.012660073,0.6024324
0.010760527,0.077125214
0.061656263,0.14647728
0.0013763503,0.0029874996
0.0010101075,0.15060513
0.026186809,0.0014436109
0.003999064,0.96091807
0.01614785,0.9650061
0.933244,0.98733807
0.041656405,0.04539475
0.10351821,0.1722075
0.07673873,0.9714693
0.04582883,0.06643441
0.0018584711,0.0037798889
0.0521208,0.0012026959
0.15925859,0.997059
0.0048767133,0.00083003787
0.00072945846,0.06344443
0.0055529973,0.68676007
0.0064294245,0.90730196
0.09319817,0.0074549927
0.00062819786,0.98824674
0.0023262515,0.99772507
0.83820766,0.9860569
0.005583983,0.0010119496
0.08417834,0.9978059
0.0018000655,0.9690637
0.046421945,0.9869108
0.010865229,0.18354909
0.0006523134,0.9961224
0.7629737,0.11029714
0.00069556484,0.9944489
0.2478766,0.99323285
0.15056926,0.030542554
0.0011970795,0.26752153
0.023125237,0.0010701898
0.019547101,0.99552476
0.20396939,0.18226984
0.35418385,0.7744409
0.07444794,0.99769896
0.038393844,0.65565044
0.6628462,0.9935894
0.09509584,0.012757452
0.013810572,0.06904404
0.011151409,0.0014986848
0.028180718,0.14680502
0.005591189,0.07243184
0.017810386,0.37657362
0.0072105248,0.9971572
0.0025397856,0.991181
0.059067376,0.96474785
0.99433255,0.92757
0.00066451635,0.9310615
0.37626666,0.7154096
0.0014671722,0.00089489185
0.024118977,0.49049258
0.0019273895,0.0005408095
0.0006696287,0.9964193
0.016669706,0.12232955
0.024958976,0.9856231
0.15274341,0.97863173
0.07297609,0.0025708643
0.0015091887,0.9922087
0.016213683,0.99475574
0.0007813687,0.91987866
0.4589394,0.9203763
0.018140214,0.52233124
0.00080559717,0.5860248
0.08018698,0.001619507
0.032746073,0.17634988
0.1488217,0.0054535302
