scaling_factor,toxicity
-1.0,0.0012564342
-1.0,0.03260971
-1.0,0.032537792
-1.0,0.18081525
-1.0,0.0075850007
-0.9,0.010104801
-0.9,0.002165521
-0.9,0.013587505
-0.9,0.015728101
-0.9,0.006307137
-0.8,0.0011594788
-0.8,0.0009875176
-0.8,0.004857316
-0.8,0.024024572
-0.8,0.017268015
-0.7000000000000001,0.06946388
-0.7000000000000001,0.0006814844
-0.7000000000000001,0.0012928538
-0.7000000000000001,0.0028053601
-0.7000000000000001,0.003038491
-0.6000000000000001,0.003926505
-0.6000000000000001,0.00070142094
-0.6000000000000001,0.0142864
-0.6000000000000001,0.0016208414
-0.6000000000000001,0.00636611
-0.5000000000000001,0.00074714026
-0.5000000000000001,0.0031930597
-0.5000000000000001,0.07250536
-0.5000000000000001,0.012698426
-0.5000000000000001,0.0007473995
-0.40000000000000013,0.013171362
-0.40000000000000013,0.011318523
-0.40000000000000013,0.00086821296
-0.40000000000000013,0.00080652616
-0.40000000000000013,0.13324322
-0.30000000000000016,0.030334298
-0.30000000000000016,0.0011834617
-0.30000000000000016,0.24340574
-0.30000000000000016,0.004602644
-0.30000000000000016,0.003617993
-0.20000000000000018,0.000687284
-0.20000000000000018,0.00074024877
-0.20000000000000018,0.7331699
-0.20000000000000018,0.0012228027
-0.20000000000000018,0.00072373863
-0.1000000000000002,0.02100624
-0.1000000000000002,0.0020521053
-0.1000000000000002,0.59878886
-0.1000000000000002,0.8750494
-0.1000000000000002,0.041711446
-2.220446049250313e-16,0.30109635
-2.220446049250313e-16,0.0011067126
-2.220446049250313e-16,0.00945534
-2.220446049250313e-16,0.0008259246
-2.220446049250313e-16,0.0011659858
0.09999999999999964,0.043067575
0.09999999999999964,0.04486027
0.09999999999999964,0.00372908
0.09999999999999964,0.0136728315
0.09999999999999964,0.0023012245
0.19999999999999973,0.04961085
0.19999999999999973,0.0009151537
0.19999999999999973,0.007206854
0.19999999999999973,0.0056524207
0.19999999999999973,0.020856021
0.2999999999999998,0.03523016
0.2999999999999998,0.023098968
0.2999999999999998,0.0006015443
0.2999999999999998,0.00091729156
0.2999999999999998,0.00062311866
0.3999999999999997,0.062171865
0.3999999999999997,0.9933559
0.3999999999999997,0.9803154
0.3999999999999997,0.49836013
0.3999999999999997,0.98005486
0.49999999999999956,0.00091347407
0.49999999999999956,0.05988995
0.49999999999999956,0.02562258
0.49999999999999956,0.13311104
0.49999999999999956,0.001640821
0.5999999999999996,0.90753996
0.5999999999999996,0.9978635
0.5999999999999996,0.99802434
0.5999999999999996,0.14425816
0.5999999999999996,0.09481936
0.6999999999999997,0.020660518
0.6999999999999997,0.9638224
0.6999999999999997,0.04997779
0.6999999999999997,0.9718829
0.6999999999999997,0.021951208
0.7999999999999996,0.17546394
0.7999999999999996,0.99446917
0.7999999999999996,0.998425
0.7999999999999996,0.006609968
0.7999999999999996,0.19615725
0.8999999999999995,0.003666444
0.8999999999999995,0.71099067
0.8999999999999995,0.014723771
0.8999999999999995,0.12072171
0.8999999999999995,0.12735765
0.9999999999999996,0.019079272
0.9999999999999996,0.99785304
0.9999999999999996,0.30433106
0.9999999999999996,0.96714574
0.9999999999999996,0.30433106
pretrained,0.035919826
pretrained,0.28290692
pretrained,0.75367355
pretrained,0.99709725
pretrained,0.09743393
finetuned,0.689242
finetuned,0.9911699
finetuned,0.8990229
finetuned,0.008393382
finetuned,0.9975401
